LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-119.0767875,46.1686108,202003,E BOWLES,,Kennewick,,,99337,,d9433bd4987b78ec
-119.0801639,46.1685491,200203,E BOWLES,,Kennewick,,,99337,,a32bfce981c91fbb
-119.0807214,46.1686759,200103,E BOWLES,,Kennewick,,,99337,,6b974f572d3a42b7
-119.0834303,46.1685623,198505,E BOWLES,,Kennewick,,,99337,,4aab874beadd041a
-119.0936119,46.1686813,193805,E BOWLES,,Kennewick,,,99337,,09a9649c322c2ca4
-119.0777087,46.1557074,200802,E GAME FARM,,Kennewick,,,99337,,ecf7d9401cf43973
-119.0778416,46.1556468,200802,E GAME FARM,,Kennewick,,,99337,,f216efcd95f635c5
-119.0780281,46.1555223,200802,E GAME FARM,,Kennewick,,,99337,,134586f9138ad4a1
-119.0782413,46.1554076,200802,E GAME FARM,,Kennewick,,,99337,,7af236a565f38abc
-119.0782979,46.1553032,200802,E GAME FARM,,Kennewick,,,99337,,2aa06367d27e78ef
-119.078509,46.1551483,200802,E GAME FARM,,Kennewick,,,99337,,feef24e040959dbd
-119.0788562,46.1549759,200802,E GAME FARM,,Kennewick,,,99337,,e8deed53e5fcb608
-119.0790736,46.154863,200802,E GAME FARM,,Kennewick,,,99337,,20a021be198cd478
-119.0781895,46.1548158,200802,E GAME FARM,,Kennewick,,,99337,,aff58d9897755992
-119.0783163,46.1546835,200802,E GAME FARM,,Kennewick,,,99337,,630a4a90ad80dd31
-119.0780632,46.1549327,200802,E GAME FARM,,Kennewick,,,99337,,3082f29541d4b769
-119.0777329,46.1551218,200802,E GAME FARM,,Kennewick,,,99337,,aa9c21d73fcda2d0
-119.0774872,46.1553071,200802,E GAME FARM,,Kennewick,,,99337,,e3cca4e2d5618a4f
-119.0767141,46.155842,200802,E GAME FARM,,Kennewick,,,99337,,7dd2b4159cdded8f
-119.0790386,46.1544624,200802,E GAME FARM,,Kennewick,,,99337,,01f3eba50bfde345
-119.0787711,46.1545408,200802,E GAME FARM,,Kennewick,,,99337,,7586a0c13a249b84
-119.0785399,46.1545207,200802,E GAME FARM,,Kennewick,,,99337,,2f9b66f45669b0de
-119.0795268,46.1544455,200802,E GAME FARM,,Kennewick,,,99337,,2b074ef49d75870e
-119.0762758,46.1571301,200802,E GAME FARM,,Kennewick,,,99337,,d63574432c65cb6f
