LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
14.378798,40.9477746,105/F,CORSO VITTORIO EMANUELE II,,,,,,,0baa6c04e4aa42cb
14.3787323,40.9477427,105/E,CORSO VITTORIO EMANUELE II,,,,,,,027fc96b3901e0a8
14.3786263,40.9474922,120,CORSO VITTORIO EMANUELE II,,,,,,,bf13cbc7f50fbf37
14.3787349,40.9475245,122,CORSO VITTORIO EMANUELE II,,,,,,,a940e05b32bf6020
14.3789515,40.9478504,105/H,CORSO VITTORIO EMANUELE II,,,,,,,57e0f462c85b4f39
14.3790286,40.9478867,105/I,CORSO VITTORIO EMANUELE II,,,,,,,ca2f7c5f33f2ad49
14.3790919,40.947921,105/L,CORSO VITTORIO EMANUELE II,,,,,,,7a39129a5b4b162d
14.3791538,40.9479478,105/M,CORSO VITTORIO EMANUELE II,,,,,,,9c5e66162b5c414c
14.3792396,40.947983,105/N,CORSO VITTORIO EMANUELE II,,,,,,,4f23e6e85d03f5bf
14.3792937,40.9480088,105/O,CORSO VITTORIO EMANUELE II,,,,,,,a8f7e9b6eb3f7026
14.3793445,40.948034,105/P,CORSO VITTORIO EMANUELE II,,,,,,,68e028d095ea3cea
14.3793943,40.9480577,105/Q,CORSO VITTORIO EMANUELE II,,,,,,,cc92e0e3054bb49d
14.3795636,40.9481381,107,CORSO VITTORIO EMANUELE II,,,,,,,a22e08677a53cbda
14.3790689,40.9476953,126,CORSO VITTORIO EMANUELE II,,,,,,,c990722ff39aade3
14.3791288,40.9477229,128,CORSO VITTORIO EMANUELE II,,,,,,,0823d8af0a84a16d
14.3791937,40.9477504,130,CORSO VITTORIO EMANUELE II,,,,,,,2028d332d39b13c8
14.3792372,40.9477728,132,CORSO VITTORIO EMANUELE II,,,,,,,f7110e0fae1a3116
14.3792979,40.9477984,134,CORSO VITTORIO EMANUELE II,,,,,,,2bfdfeb3f92ba494
14.3793736,40.9478335,136,CORSO VITTORIO EMANUELE II,,,,,,,fc56614a59c986c5
14.379431,40.9478636,138,CORSO VITTORIO EMANUELE II,,,,,,,38307120b51d6c40
14.3794893,40.9478896,140,CORSO VITTORIO EMANUELE II,,,,,,,45ce47aaab18b888
14.3795517,40.9479304,142,CORSO VITTORIO EMANUELE II,,,,,,,66e1c03bad834010
14.3796193,40.9479621,144,CORSO VITTORIO EMANUELE II,,,,,,,d6a6be1470cc10d3
14.3796849,40.9479797,146,CORSO VITTORIO EMANUELE II,,,,,,,5360dc1c4af2403d
14.3797546,40.9484979,109,CORSO VITTORIO EMANUELE II,,,,,,,1772aebd9ff500fd
14.3797876,40.9484649,111,CORSO VITTORIO EMANUELE II,,,,,,,58df96225a28fe6d
14.3798122,40.9484371,113,CORSO VITTORIO EMANUELE II,,,,,,,20a27ac2beb15f25
14.3798375,40.9484083,115,CORSO VITTORIO EMANUELE II,,,,,,,b2b20ed1f3ef29c2
